"url","creation-date","id",,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/tutorial_popup.php3?L=norwegian&Ver=L","22-05-2003",34,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/tutorial_popup.php3?L=danish&Ver=L","21-05-2003",35,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/register.php3?L=french_canadian","21-05-2003",36,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/index.php?L=italian","17-11-2002",37,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/index.php","26-10-2002",38,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/bien-etre.html","13-11-2014",39,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/deluser.php3?L=english","21-05-2003",40,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/radio/atlantic15.html","09-01-2012",41,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/64","23-04-2010",42,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/index.php?L=chinese_simplified","17-11-2002",43,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/rss-5.html","21-04-2009",44,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/index.php?L=japanese","17-11-2002",45,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/article-economie-1801.html","02-12-2008",46,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/radio/songs","02-01-2012",47,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/%D8%AF%D8%B9%D8%A7%D8%A1-%D8%A7%D9%84%D9%83%D8%B1%D8%A8-%D9%88%D8%A7%D9%84%D8%AD%D","25-06-2013",48,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/index.php?L=portuguese","17-11-2002",49,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/%D8%AF%D8%B9%D8%A7%D8%A1-%D8%A7%D9%84%D9%83%D8%B1%D8%A8-%D9%88%D8%A7%D9%84%D8%AD%D8%B2%D9%86-%D9%88%D8%A7%D9%84%D8%A8%","13-12-2012",50,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/index.php?L=french_canadian","17-11-2002",51,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/%D8%AF%D8%B9%D8%A7%D8%A1-%D8%A7%D9%84%D9%83%D8%B1%D8%A8-%D9%88%D8%A7%D9%84%D8%AD%2","26-02-2013",52,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/post-100.html","06-03-2009",53,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/moderation.html","24-01-2009",54,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/post-50.html","07-03-2009",55,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/article-politique-1521.html","02-12-2008",56,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/$(","13-11-2014",57,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/Gnral-1","16-04-2009",58,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/index.php?L=norwegian","17-11-2002",59,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/rss-67.html","27-05-2009",60,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/tutorial_popup.php3?L=italian&Ver=L","29-07-2003",61,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/deluser.php3?L=dutch","21-05-2003",62,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/index.php?L=spanish","17-11-2002",63,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/radio/radio","04-01-2012",64,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/Aide-et-astuces-68","04-01-2007",65,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/radio/","01-01-2012",66,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/register.php3?L=danish","21-05-2003",67,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/%D8%A3%D9%85%D8%AB%D8%A7%D9%84-%D8%AD%D9%83%D9%85-%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D9%85%D8%BA%D8%B1%D8%A8%D9%8A%","16-02-2012",68,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/edituser.php3?L=english","21-05-2003",69,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/radio/low.ram","03-05-2012",70,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/edituser.php3?L=french","09-01-2003",71,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/magazines/yabiladi_mag_12.pdf","10-03-2012",72,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/radio/low.wax","03-05-2012",73,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/radio/index","01-01-2012",74,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/edituser.php3?L=norwegian","22-05-2003",75,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/Amour-et-sentiments-3","04-01-2007",76,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/radio/low.m3u","03-05-2012",77,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/radio/vote","24-05-2012",78,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/display","28-04-2010",79,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/%D9%85%D9%82%D8%A7%D9%84%D8%A8-%D9%88%D8%B7%D8%B1%D8%A7%D8%A6%D9%81-%D8%A7%D9%84%D9%85%D9%","21-10-2013",80,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/article-economie-1871.html","02-12-2008",81,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/tutorial_popup.php3?L=arabic&Ver=L","21-05-2003",82,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/getaspi.php","01-04-2009",83,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/%D9%85%D8%A7%D8%B0%D8%A7-%D8%AA%D9%81%","27-07-2013",84,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/index-56.html","31-01-2009",85,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/register.php3?L=norwegian","22-05-2003",86,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/radio/lecteur","02-01-2012",87,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/tutorial_popup.php3?L=english&Ver=L","21-05-2003",88,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/index-71.html","01-02-2009",89,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/etes-vous-rancunierrancuni&269","10-04-2010",90,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/rss-68.html","21-04-2009",91,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/?utm_source=header_forum&utm_medium=header&utm_campaign=header_services","16-09-2012",92,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/index-editor_tools_help=bbcode.html","10-02-2009",93,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/56","23-04-2010",94,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/edituser.php3?L=danish","21-05-2003",95,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/55","23-04-2010",96,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/53","26-10-2015",97,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/52","23-04-2010",98,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/radio/favoris.php?rank=flop","13-01-2012",99,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/50","23-04-2010",100,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/register.php3?L=french","17-11-2002",101,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/%D8%AF%D8%B9%D8%A7%D8%A1-%D8%A7%D9%84%D9%83%D8%B1%D8%A8-%D9%88%D8%A7%D9%84%D8%AD%D8%B2%D9%86-%D9%","04-03-2014",102,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/register.php3?L=italian","29-07-2003",103,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/besoin-aide","10-12-2009",104,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/index-0.html","27-01-2009",105,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/article-societe-2783.html","20-11-2008",106,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/deluser.php3?L=german","21-05-2003",107,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/article-agenda-598.html","02-12-2008",108,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/58","23-04-2010",109,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/2","03-02-2011",110,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/168d1c8991f26fa002fe99c7d14494dc.html","24-12-2007",111,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/?","28-09-2012",112,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/deluser.php3?L=french","09-01-2003",113,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/article-societe-2666.html","02-12-2008",114,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/%20-%2016k","08-03-2007",115,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/orchestre-chams-eddine","07-11-2009",116,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/%D8%AF%D8%B9%D8%A7%D8%A1-%D8%A7%D9%84%D9%83%D8%B1%D8%A8-%D9%88%D8%A7%D9%","14-04-2013",117,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/launcher.php","29-10-2004",118,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/index.php?L=english","09-01-2003",119,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/mariage.html","13-11-2014",120,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/favicon.ico","27-03-2003",121,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/deluser.php3?L=arabic","21-05-2003",122,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/images","04-04-2016",123,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/article-economie-1865.html","02-12-2008",124,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/article-culture-730.html","20-11-2008",125,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/perpignan-brasier-eteint","19-12-2009",126,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/%D8%AF%D8%B9%D8%A7%D8%A1-%D8%A7%D9%84%D9%83%D8%B1%D8%A8-%D9%88%D8%A7%D9%84%D8%AD%D8%B2%D9%86-%D9%88%2","22-03-2013",127,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/idee-pour-demi-coiffure-fiancaille-","15-07-2013",128,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/index-50.html","29-01-2009",129,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/98","15-09-2015",130,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/95","02-06-2015",131,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/94","24-08-2010",132,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/edituser.php3?L=italian","21-05-2003",133,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/%D9%85%D9%82%D8%A7%D9%84%D8%A8-%D9%88%D8%B7%D8%B1%D8%A7%D8%A6%D9%81","17-10-2013",134,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/Actualits-sportives-51","04-01-2007",135,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/aides-publiques-exportations-developpement-durable%A0","06-12-2009",136,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/deluser.php3?L=italian","21-05-2003",137,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/deluser.php3?L=french_canadian","21-05-2003",138,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/7-3739815-printview-page=1.html","18-04-2010",139,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/%D9%85%D9%82%D8%A7%D9%84%D8%A8-%D9%88%D8%B7%D8%B1%D8%A7","27-08-2013",140,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/&","04-01-2007",141,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/article-societe-2602.html","06-10-2008",142,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/javascript","04-04-2010",143,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/tutorial_popup.php3?L=german&Ver=L","29-07-2003",144,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/5","03-07-2014",145,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/4","10-03-2014",146,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/3","10-03-2014",147,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/1","07-07-2004",148,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/8","05-10-2015",149,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/sondages/show","17-02-2012",150,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/article-agenda-588.html","21-08-2008",151,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/97","05-10-2015",152,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/edituser.php3?L=arabic","21-05-2003",153,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/register.php3?L=spanish","30-07-2003",154,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/","03-01-2007",155,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/lastmessages","11-01-2013",156,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/k","28-11-2009",157,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/article-agenda-607.html","02-12-2008",158,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/radio/snrt-chaine-inter17.html","16-03-2010",159,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/index.php?L=swedish","17-11-2002",160,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/radio/index.php","16-08-2012",161,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/article-sport-684.html","02-12-2008",162,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/index.php?L=arabic","17-11-2002",163,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/tutorial_popup.php3?L=dutch&Ver=L","21-05-2003",164,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/Actualits-internationales-66","04-01-2007",165,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/index-52.html","29-01-2009",166,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/radio/adddedicace","24-05-2012",167,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/index","01-04-2010",168,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/article-economie-1798.html","05-09-2008",169,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/index-58.html","16-02-2009",170,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/index.php?L=german","17-11-2002",171,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/rss-3.html","21-06-2009",172,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/peiture-vitreglacemiroir","07-12-2009",173,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/index-editor_tools_help=smileys.html","10-02-2009",174,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/radio/?utm_source=header_radio&utm_medium=header&utm_campaign=header_services","25-12-2012",175,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/88","24-06-2016",176,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/function.htmlentities","16-04-2009",177,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/radio/?","26-02-2012",178,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/mag/index","01-01-2012",179,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/famille.html","13-11-2014",180,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/%D8%AF%D8%B9%D8%A7%D8%A1-%D8%A7%D9%84%D9%83%D8%B1%D8%A8-%D9%88%D8%A7%D9%84%D8","20-02-2013",181,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/edituser.php3?L=dutch","30-07-2003",182,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/salon-coiffure-casa-sacree-beaute","22-11-2009",183,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/6b577100f624ec0fbabf751db4f90fa1.html","17-11-2007",184,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/87","23-04-2010",185,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/register.php3?L=arabic","21-05-2003",186,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/article-agenda-602.html","02-12-2008",187,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/rss-43.html","27-08-2009",188,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/radio/emission-dedicace.html","16-03-2009",189,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/tutorial_popup.php3?L=spanish&Ver=L","21-05-2003",190,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/radio/?station=6","05-01-2012",191,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/register.php3?L=german","21-05-2003",192,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/index.php?L=danish","17-11-2002",193,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/article-agenda-564.html","15-10-2008",194,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/78","23-04-2010",195,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/71","01-05-2010",196,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/70","15-02-2016",197,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/radio/play","16-05-2012",198,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/77","30-03-2016",199,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/76","31-01-2013",200,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/tutorial_popup.php3?L=french&Ver=L","17-11-2002",201,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/article-societe-2697.html","02-12-2008",202,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/%D8%AF%2","10-08-2013",203,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/%D8%AF%D8%B9%D8%A7%D8%A1-%D8%A7%D9%84%D9%83%D8%B1%D8%A8-%D9%88%D8%A7%D9%84%D8%AD%D8%B2%D9%86-%D9%88%D8%A7%D9%84%D8%A8%D9%84%D8%A7%D8%","10-04-2014",204,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/%D9%81%D8%B6%D9%8A%D8%AD%D8%A9-%D","03-01-2014",205,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/index.php?L=turkish","13-01-2003",206,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/register.php3?L=dutch","21-05-2003",207,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/post.html","14-02-2009",208,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/","13-11-2002",209,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/radio/player.html","16-03-2010",210,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/index.html","24-01-2009",211,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/article-sport-677.html","20-11-2008",212,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/post","19-09-2015",213,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/article-debat-125.html","20-11-2008",214,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/article-societe-2603.html","07-09-2008",215,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/cour","12-09-2016",216,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/forum--.html","27-10-2013",217,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/index.php?L=french","17-11-2002",218,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/%D9%85%D9%82%D8%A7%D9%84%D8%A8-%D9%88%D8%B7%D8%B1%D8%A7%D8%A6%D9%81-%D8%A7%D9%84%D9%85%D9%84%D9%83-%D8%A7%D9%84%D8%B","25-06-2013",219,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/%D8%A3%D9%87%D8%AF%D8%A7%D9%81-%D8%A7%D9%84%D8%B2%D9%88%D8%A7%D8%AC-%D9%81%D9%8A-%D8%A7%D9%84%D8%A5%D8%B3%D9%84%2","11-01-2012",220,,,,,,,,,,,,,,,,,,,,,,,,,,,
